Compound Name,Molecular Formula,SMILES,P（蛋白质）,对接分数,PDB id,选取链条,Select parameters
Auraptene,C19H22O3,CC(=CCC/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)C,CXCL8,-6.7936,6LFM ,R-C-X-C chemokine receptor type 2,5
Isorhamnetin,C16H12O7,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CXCL8,-6.7563,6LFM ,R-C-X-C chemokine receptor type 2,5
Isorhamnetin,C16H12O7,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,,,,,
18 beta-glycyrrhetintic Acid,C30H46O4,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O,CXCL8,-7.3308,6LFM ,R-C-X-C chemokine receptor type 2,5
Lablaboside C,C60H96O28,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(C(O1)C)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,CXCL8,-8.3669,6LFM ,R-C-X-C chemokine receptor type 2,5
Vitexin,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,CXCL8,-7.1137,6LFM ,R-C-X-C chemokine receptor type 2,5
Vitexin,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,,,,,
Vitexin,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,,,,,
"3,5,6-Trihydroxy-4',7-dimethoxyflavone",C17H14O7,,,,,,
Oroxin A,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,CXCL8,-7.091,6LFM ,R-C-X-C chemokine receptor type 2,5
Oroxin A,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,,,,,
Oroxin A,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,,,,,
p-coumaric acid,C9H8O3,C1=CC(=CC=C1/C=C/C(=O)O)O,CXCL8,-5.989,6LFM ,R-C-X-C chemokine receptor type 2,5
Calycosin,C16H12O5,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,CXCL8,-6.5978,6LFM ,R-C-X-C chemokine receptor type 2,5
Neferine,C38H44N2O6,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,CXCL8,-6.9087,6LFM ,R-C-X-C chemokine receptor type 2,5
Glycyrrhizic acid,C42H62O16,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,CXCL8,-6.2997,6LFM ,R-C-X-C chemokine receptor type 2,5
Leucine,C6H13NO2,CC(C)C[C@@H](C(=O)O)N,CXCL8,-5.744,6LFM ,R-C-X-C chemokine receptor type 2,5
Isoliquiritin,C21H22O9,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CXCL8,-7.1242,6LFM ,R-C-X-C chemokine receptor type 2,5
Isovitexin,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,CXCL8,-7.1659,6LFM ,R-C-X-C chemokine receptor type 2,5
Isovitexin,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,,,,,
Isovitexin,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,,,,,
Liquiritigenin,C15H12O4,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,CXCL8,-6.4453,6LFM ,R-C-X-C chemokine receptor type 2,5
Liquiritigenin,C15H12O4,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,,,,,
Astragalus F,C12H18N2O5,,,,,,
Isoliquiritigenin,C15H12O4,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,CXCL8,-6.3785,6LFM ,R-C-X-C chemokine receptor type 2,5
Isoliquiritigenin,C15H12O4,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,,,,,
Palmitate -3 beta-sitosterol ester,C50H88O7,,,,,,
o-Cymene,C10H14,CC1=CC=CC=C1C(C)C,CXCL8,-5.5627,6LFM ,R-C-X-C chemokine receptor type 2,5
o-Cymene,C10H14,CC1=CC=CC=C1C(C)C,,,,,
Astragaloside Ⅰ,C45H72O16,,,,,,
Astragaloside Ⅰ,C45H72O16,,,,,,
Kingianoside D,C45H72O19,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3(C4CC(=O)[C@]5(C(C4CC=C3C2)CC6C5[C@@H](C(O6)(CC[C@@H](C)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)C)C)C)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,CXCL8,-8.132,6LFM ,R-C-X-C chemokine receptor type 2,5
Obacunone,C26H30O7,C[C@@]12CC[C@@H]3[C@]4(C=CC(=O)OC([C@@H]4CC(=O)[C@]3([C@@]15[C@H](O5)C(=O)O[C@H]2C6=COC=C6)C)(C)C)C,CXCL8,-7.4619,6LFM ,R-C-X-C chemokine receptor type 2,5
Isoastragaloside I,C45H72O16,,,,,,
Isoastragaloside I,C45H72O16,,,,,,
Quercetin 3-O-alpha-L-rhamnoside,C21H20O11,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,CXCL8,-7.2028,6LFM ,R-C-X-C chemokine receptor type 2,5
Lablab saponin I,C54H82O22,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8OC9CC(=O)C(=C(O9)C)O)(C)C)C=O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,CXCL8,-7.1024,6LFM ,R-C-X-C chemokine receptor type 2,5
3-acetyloledronic acid,C32H50O4,,,,,,
Coumarin,C9H6O2,C1=CC=C2C(=C1)C=CC(=O)O2,CXCL8,-5.6346,6LFM ,R-C-X-C chemokine receptor type 2,5
"3,5,6-Trihydroxy-3',4',7-trimethoxyflavone",C18H16O8,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)O)OC,CXCL8,-6.8889,6LFM ,R-C-X-C chemokine receptor type 2,5
Isobergapten,C12H8O4,COC1=C2C=CC(=O)OC2=C3C=COC3=C1,CXCL8,-6.1454,6LFM ,R-C-X-C chemokine receptor type 2,5
p-Cymene,C10H14,CC1=CC=CC=C1C(C)C,CXCL8,-5.5657,6LFM ,R-C-X-C chemokine receptor type 2,5
p-Cymene,C10H14,CC1=CC=CC=C1C(C)C,,,,,
Calycosin-7-O-beta-D-glucoside,C22H22O10,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,CXCL8,-7.6181,6LFM ,R-C-X-C chemokine receptor type 2,5
Isomucronulatol 7-O-glucoside,C23H28O10,"COC1=C(C(=C(C=C1)C2CC3=C(C=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC2)O)OC
COC1=C(C(=C(C=C1)[C@H]2CC3=C(C=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC2)O)OC
COC1=C(C(=C(C=C1)C2CC3=C(C=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC2)O)OC",CXCL8,,6LFM ,R-C-X-C chemokine receptor type 2,5
Poricoic acid C,C31H46O4,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@H]([C@]3(C)CCC(=O)O)C(=C)C)C)C)C(=O)O,CXCL8,-6.9347,6LFM ,R-C-X-C chemokine receptor type 2,5
Aviprin,C16H16O6,CC(C)([C@@H](COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)O)O,CXCL8,-6.6882,6LFM ,R-C-X-C chemokine receptor type 2,5
Glabrolide,C30H44O4,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2C(=O)C=C4[C@]3(CC[C@@]5([C@H]4C[C@@]6(C[C@H]5OC6=O)C)C)C)C)(C)C)O,CXCL8,-7.2271,6LFM ,R-C-X-C chemokine receptor type 2,5
Retrochalcone,C16H14O4,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,CXCL8,-6.9048,6LFM ,R-C-X-C chemokine receptor type 2,5
6-Methoxy-7-hydroxycoumarin,C10H8O4,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CXCL8,-5.9893,6LFM ,R-C-X-C chemokine receptor type 2,5
"(6aR,11aR)10-hydroxy-3,9-dimethoxypterocarpan",C17H16O5,,,,,,
Lablaboside B,C54H86O24,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(CC8)(C)C)C(=O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,CXCL8,-7.5725,6LFM ,R-C-X-C chemokine receptor type 2,5
Astragaloside IV,C41H68O14,C[C@]12CC[C@@]34C[C@@]35CC[C@@H](C([C@@H]5[C@H](C[C@H]4[C@@]1(C[C@@H]([C@@H]2[C@]6(CC[C@H](O6)C(C)(C)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O,CXCL8,-6.5634,6LFM ,R-C-X-C chemokine receptor type 2,5
4'-O-Glucosylvitexin,C27H30O15,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,CXCL8,-7.7942,6LFM ,R-C-X-C chemokine receptor type 2,5
Lablaboside D,C60H94O28,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)COC(=O)CC(C)(CC(=O)O)O)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,CXCL8,-7.108,6LFM ,R-C-X-C chemokine receptor type 2,5
Trametenolic acid,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,CXCL8,-6.8168,6LFM ,R-C-X-C chemokine receptor type 2,5
Trametenolic acid,C30H48O3,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O)C,,,,,
Mongholicoside Ⅰ,C36H60O9,,,,,,
Astragaloside Ⅷ,C47H76O17,,,,,,
Astragaloside Ⅷ,C47H76O17,,,,,,
Isopimpinellin,C13H10O5,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,CXCL8,-6.1808,6LFM ,R-C-X-C chemokine receptor type 2,5
Daucosterol,C35H60O6,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CXCL8,-7.2022,6LFM ,R-C-X-C chemokine receptor type 2,5
